air_carrier_id_pk,airport_code,name,city
357,APT,Marion County Brown Field,Jasper
358,APV,Apple Valley Airport,Apple Valley
359,APW,Faleolo International,Apia
360,AQI,Hafr Al Batin,Qaisumah
361,AQJ,King Hussein International,Aqaba
362,AQP,Rodriguez Ballon International,Arequipa
363,AQS,Saqani Airport,Saqani
364,AQY,Girdwood Airport,Girdwood
365,AR1,Russellville Regional,Russellville
366,AR2,Dennis F Cantrell Field,Conway
367,AR3,Bentonville Municipal Louise M Thaden Field,Bentonville
368,ARA,Acadiana Regional,New Iberia
369,ARB,Ann Arbor Municipal,Ann Arbor
370,ARC,Arctic Village Airport,Arctic Village
371,ARD,Arcadia Municipal,Alor
372,ARE,Antonio/Nery/Juarbe Pol,Arecibo
373,ARG,Walnut Ridge Regional,Walnut Ridge
374,ARH,Talagi,Arkhangelsk
375,ARI,Chacalluta,Arica
376,ARK,Arusha Airport,Arusha
377,ARM,Armidale Airport,Armidale
378,ARN,Arlanda,Stockholm
379,ARP,Aragip Airport,Aragip
380,ARQ,Arauquita Airport,Arauquita
381,ARS,Aragarcas Airport,Aragarcas
382,ART,Watertown International,Watertown
383,ARU,Aracatuba Airport,Aracatuba
384,ARV,Lakeland/Noble F. Lee Memorial Field,Minocqua/Woodruff
385,ARW,Arad International,Arad
386,ARX,Asbury Park/Monmouth County,Asbury Park
387,ARY,Ararat Airport,Ararat
388,ARZ,N'zeto Airport,N'zeto
389,ASA,Assab International,Assab
390,ASB,Ashgabat Airport,Ashgabat
391,ASC,Ascension Airport,Ascension
392,ASD,Fresh Creek,Andros Town
393,ASE,Aspen Pitkin County Sardy Field,Aspen
394,ASF,Narimanova,Astrakhan
395,ASG,Ashburton Airport,Ashburton
396,ASH,Boire Field,Nashua
397,ASI,Ascension Aux Af,Ascension Island
398,ASJ,Amami,Amami O Shima
399,ASK,Yamoussoukro Airport,Yamoussoukro
400,ASL,Harrison County,Marshall
401,ASM,Asmara International,Asmara
402,ASN,Talladega Municipal,Talladega
403,ASO,Asosa Hidase,Asosa
404,ASP,Alice Springs Airport,Alice Springs
405,ASQ,Austin Airport,Austin
406,ASR,Kayseri Airport,Kayseri
407,AST,Astoria Regional,Astoria/Seaside
408,ASU,Silvio Pettirossi International,Asuncion
409,ASW,Aswan International,Aswan
410,ASX,John F Kennedy Memorial,Ashland
411,ASY,Ashley Municipal,Ashley
412,ATA,Anta Huaraz,Anta
413,ATB,Atbara Airport,Atbara
414,ATC,Arthur's Town Airport,Arthur's Town
415,ATE,Antlers Municipal,Antlers
416,ATH,Eleftherios Venizelos International,Athens
417,ATI,Artigas International,Artigas
418,ATK,Atqasuk Edward Burnell Sr. Memorial,Atqasuk
419,ATL,Hartsfield-Jackson Atlanta International,Atlanta
420,ATM,Altamira Airport,Altamira
421,ATN,Namatanai Airport,Namatanai
422,ATO,Ohio University,Athens
423,ATP,Aitape Airport,Aitape
424,ATQ,Amritsar International,Amritsar
425,ATR,Atar Airport,Atar
426,ATS,Artesia Municipal,Artesia
427,ATT,Atmautluak Airport,Atmautluak
428,ATU,Casco Cove CGS,Attu
429,ATV,Ati Airport,Ati
430,ATW,Appleton International,Appleton
431,ATY,Watertown Regional,Watertown
432,ATZ,Assiut Airport,Assiut
433,AU1,Scherger,Weipa
434,AUA,Reina Beatrix International,Aruba
435,AUC,Santiago Perez,Arauca
436,AUD,Augustus Downs Airport,Augustus Downs
437,AUG,Augusta State,Augusta/Waterville
438,AUH,Abu Dhabi International,Abu Dhabi
439,AUI,Aua Island Airport,Aua Island
440,AUK,Alakanuk Airport,Alakanuk
441,AUM,Austin Municipal,Austin/Albert Lea
442,AUN,Auburn Municipal,Auburn
443,AUO,Auburn University Regional,Auburn
444,AUP,Aguan Papua N.G.,Aguan
445,AUQ,Hiva Oa/Atuona,Atuona
446,AUR,Aurillac Airport,Aurillac
447,AUS,Austin - Bergstrom International,Austin
448,AUW,Wausau Downtown,Wausau
449,AUX,Araguaina Airport,Araguaina
450,AUY,Aneityum Airport,Aneityum
451,AUZ,Aurora Municipal,Aurora
452,AVB,Aviano AB,Aviano
453,AVI,Maximo Gomez,Ciego de Avila
454,AVL,Asheville Regional,Asheville
455,AVN,Avignon Caumont,Avignon
456,AVO,Avon Park Executive,Avon Park
457,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre
458,AVV,Avalon Airport,Avalon
459,AVW,Marana Regional,Tucson
460,AVX,Catalina,Avalon
461,AWA,Lake Awasa,Awasa
462,AWK,Wake Island Airfield,Wake Island
463,AWM,West Memphis Municipal,West Memphis
464,AWR,Awar Airport,Awar
465,AWX,Andrews County,Andrews
466,AWZ,Ahwaz Airport,Ahwaz
467,AXA,Clayton J Lloyd,The Valley
468,AXB,Maxson Airfield,Alexandria Bay
469,AXC,Aramac Airport,Aramac
470,AXD,Dimokritos,Alexandroupolis
471,AXM,El Eden,Armenia
472,AXN,Chandler Field,Alexandria
473,AXP,Spring Point Airport,Spring Point
474,AXS,Altus/Quartz Mountain Regional,Altus
475,AXT,Akita Airport,Akita
476,AXU,Axum Atse Yohannes IV,Axum
477,AXV,Neil Armstrong,Wapakoneta
478,AXX,Angel Fire,Eagle Nest
479,AYL,Anthony Lagoon Airport,Anthony Lagoon
480,AYP,Coronel FAP Alfredo Mendivil Duarte,Ayacucho
481,AYQ,Ayers Rock Connellan,Ayers Rock
482,AYR,Ayr Airport,Ayr
483,AYS,Waycross-Ware County,Waycross
484,AYT,Antalya Airport,Antalya
485,AYW,Ayawasi Airport,Ayawasi
