air_carrier_id_pk,name,shortcut
19727,Not specified, FW
19728,Not specified, CUQ
19729,Not specified, BDE
19730,Not specified, 4R
19731,Not specified, WTA
19732,Not specified, AON
19733,Not specified, CAF
19734,Not specified, ENT
19735,Not specified, IEX
19736,Not specified, MAA
19737,Not specified, MEX
19738,Not specified, OTT
19739,Not specified, PRM
19740,Not specified, SAL
19741,Not specified, WGL
19742,Not specified, ZY
19743,Not specified, PKQ
19744,Not specified, XV
19745,Not specified, DC
19746,Not specified, GA
19747,Not specified, MS
19748,Not specified, BYA
19749,Not specified, FFQ
19750,Not specified, KFS
19751,Not specified, LEQ
19752,Not specified, BRW
19753,Not specified, BIA
19754,Not specified, CCA
19755,Not specified, GPA
19756,Not specified, IOW
19757,Not specified, MWA
19758,Not specified, RSC
19759,Not specified, TXA
19760,Not specified, AHC
19761,Not specified, XK
19762,Not specified, ALS
19763,Not specified, AEO
19764,Not specified, ALK
19765,Not specified, BFG
19766,Not specified, HEL
19767,Not specified, LAH
19768,Not specified, OMH
19769,Not specified, RVA
19770,Not specified, CM
19771,Not specified, ZAQ
19772,Not specified, POL
19773,Not specified, XDC
19774,Not specified, AIT
19775,Not specified, CGA
19776,Not specified, YM
19777,Not specified, XYZ
19778,Not specified, VE
19779,Not specified, CX
19780,Not specified, GAL
19781,Not specified, STW
19782,Not specified, EXR
19783,Not specified, PRP
19784,Not specified, WAI
19786,Not specified, HNS
19787,Not specified, FDQ
19788,Not specified, FD
19789,Not specified, VP
19790,Not specified, DL
19791,Not specified, NH
19792,Not specified, XDD
19793,Not specified, AZQ
19794,Not specified, MDC
19795,Not specified, MH
19796,Not specified, PMT
19797,Not specified, ZO
19798,Not specified, OPQ
19799,Not specified, NAQ
19800,Not specified, APE
19801,Not specified, LCT
19802,Not specified, MTV
19803,Not specified, 7F
19804,Not specified, VR
19805,Not specified, AA
19806,Not specified, WAQ
19807,Not specified, HET
19808,Not specified, BM
19809,Not specified, VY
19810,Not specified, MPA
19811,Not specified, ATQ
19812,Not specified, LBQ
19813,Not specified, ARB
19814,Not specified, ASU
19815,Not specified, ASH
19816,Not specified, BAN
19817,Not specified, CCO
19818,Not specified, ECR
19819,Not specified, HEP
19820,Not specified, THA
19821,Not specified, TK
19822,Not specified, PI
19823,Not specified, XDE
19824,Not specified, HFQ
19825,Not specified, KET
19826,Not specified, XDF
19827,Not specified, NAP
19828,Not specified, GM
19829,Not specified, KI
19830,Not specified, KZ
19831,Not specified, SEG
19832,Not specified, NAS
19833,Not specified, ALU
19834,Not specified, CUS
19835,Not specified, GSC
19836,Not specified, GST
19837,Not specified, SPG
19838,Not specified, SPR
19839,Not specified, EH
19840,Not specified, MUQ
19841,Not specified, GG (1)
19842,Not specified, GG (2)
19843,Not specified, MPC
19844,Not specified, EET
19845,Not specified, TAQ
19846,Not specified, CTR
19847,Not specified, LAR
19848,Not specified, QWE
19849,Not specified, TAF
19850,Not specified, WRA
19851,Not specified, Q2
19852,Not specified, SR
19853,Not specified, ARD
19854,Not specified, PCR
19855,Not specified, BCQ
19856,Not specified, CYQ
19857,Not specified, IA
19858,Not specified, ZB
19859,Not specified, VAQ
19860,Not specified, LUQ
19861,Not specified, HOQ
19862,Not specified, AOQ
19863,Not specified, APQ
19864,Not specified, TV (1)
19865,Not specified, TV
19866,Not specified, CWQ
19867,Not specified, JD (1)
19868,Not specified, MEA
19869,Not specified, BY
19870,Not specified, AEF
19871,Not specified, PNM
19872,Not specified, WLH
19873,Not specified, OS
19874,Not specified, 8C
19875,Not specified, JR
19876,Not specified, HRG
19877,Not specified, XDH
19878,Not specified, EXA
19879,Not specified, CLB
19880,Not specified, CSL
19881,Not specified, MHK
19882,Not specified, SYM
19883,Not specified, NVQ
19884,Not specified, TSQ
19885,Not specified, UTQ
19886,Not specified, IPQ
19887,Not specified, LCQ
19888,Not specified, TDQ (1)
19889,Not specified, TDQ
19890,Not specified, EJQ
19891,Not specified, PUQ
19892,Not specified, ACQ
19893,Not specified, ARQ
19894,Not specified, ZUQ
19895,Not specified, ITQ
19896,Not specified, UD
19897,Not specified, MYQ
19898,Not specified, TNQ
19899,Not specified, KA
19900,Not specified, CW
19901,Not specified, BUQ (1)
19902,Not specified, BUQ
19903,Not specified, CQI
19904,Not specified, ATH
19905,Not specified, CLF
19906,Not specified, NCE
19907,Not specified, SCN
19908,Not specified, TXE
19909,Not specified, BEQ
19910,Not specified, LNQ
19911,Not specified, FQ
19912,Not specified, KX
19913,Not specified, 4H
19914,Not specified, LRQ
19915,Not specified, SAH
19916,Not specified, PU
19917,Not specified, 5X
19918,Not specified, GAT
19919,Not specified, ADR
19920,Not specified, CRP
19921,Not specified, DIA
19922,Not specified, GFC
19923,Not specified, LAP
19924,Not specified, LEX
19925,Not specified, TVL
19926,Not specified, VAS
19927,Not specified, ASQ
19928,Not specified, GW (1)
19929,Not specified, CHT
19930,Not specified, AS
19931,Not specified, 2R
19932,Not specified, 7P
19933,Not specified, NZ
19934,Not specified, SE (1)
19935,Not specified, SRA
19936,Not specified, TRR
19937,Not specified, LKN
19938,Not specified, DWN
19939,Not specified, FYB
19940,Not specified, CVQ
19941,Not specified, EFQ
19942,Not specified, GCQ (1)
19943,Not specified, ALD
19944,Not specified, AVG
19945,Not specified, CGO
19946,Not specified, GWA
19947,Not specified, PRD
19948,Not specified, RDW
19949,Not specified, NG
19950,Not specified, 9R
19951,Not specified, BE
19952,Not specified, KW
19953,Not specified, QT
19954,Not specified, JZ
19955,Not specified, ZL
19956,Not specified, VC
19957,Not specified, MU (1)
19958,Not specified, MU
19959,Not specified, DUL
19960,Not specified, SYB
19961,Not specified, TS
19962,Not specified, XAH
19963,Not specified, WL (1)
19964,Not specified, IPS
19965,Not specified, RMH
19966,Not specified, SNV
19967,Not specified, TWE
19968,Not specified, AZP
19969,Not specified, XPQ
19970,Not specified, NER
19971,Not specified, NEX
19972,Not specified, HCQ
19973,Not specified, RTQ
19974,Not specified, ROQ
19975,Not specified, URQ
19976,Not specified, 4N
19977,Not specified, UA
19978,Not specified, AHA
19979,Not specified, AIY
19980,Not specified, FLA
19981,Not specified, PAQ
19982,Not specified, TB (1)
19983,Not specified, ZN
19984,Not specified, FB
19985,Not specified, KTQ
19986,Not specified, BHQ
19987,Not specified, ADV
19988,Not specified, AWA
19989,Not specified, KEA
19990,Not specified, SOE
19991,Not specified, HP (Merged with US Airways 9/05.Stopped reporting 10/07.)
19992,Not specified, ZS
19993,Not specified, AKQ
19994,Not specified, QQ
19995,Not specified, VX (1)
19996,Not specified, 6Y
19997,Not specified, SI (1)
19998,Not specified, SI
19999,Not specified, SOP
20000,Not specified, HK
20001,Not specified, TGQ
20002,Not specified, KN
20003,Not specified, LZ
20004,Not specified, BR (1)
20005,Not specified, BR
20006,Not specified, CPQ
20007,Not specified, 5Y
20008,Not specified, RMV
20009,Not specified, ECL
20010,Not specified, CLQ
20011,Not specified, ASN
20012,Not specified, EXP
20013,Not specified, RDR
20014,Not specified, ECQ
20015,Not specified, EXQ
20016,Not specified, LGQ
20017,Not specified, CS
20018,Not specified, V5
20019,Not specified, 5J (1)
20020,Not specified, V9
20021,Not specified, ECA
20022,Not specified, LZQ
20023,Not specified, MA
20024,Not specified, SMQ
20025,Not specified, LSQ
20026,Not specified, OMQ
20027,Not specified, OB
20028,Not specified, G3 (1)
20029,Not specified, GD
20030,Not specified, UYQ
20031,Not specified, PE (1)
20032,Not specified, PE
20033,Not specified, U2
20034,Not specified, PIQ
20035,Not specified, AFE
20036,Not specified, AFG
20037,Not specified, AVL
20038,Not specified, BUH
20039,Not specified, FRS
20040,Not specified, SKJ
20041,Not specified, SLR
20042,Not specified, SAQ
20043,Not specified, 6U
20044,Not specified, 7M
20045,Not specified, BG
20046,Not specified, ZW
20047,Not specified, CRB
20048,Not specified, GRA
20049,Not specified, WA (1)
20050,Not specified, WA
20051,Not specified, E8
20052,Not specified, SBQ
20053,Not specified, 8L
20054,Not specified, GF (1)
20055,Not specified, GF
20056,Not specified, PDQ
20057,Not specified, EZ
20058,Not specified, FJ (1)
20059,Not specified, FJ
20060,Not specified, WV (1)
20061,Not specified, ASC
20062,Not specified, ICH
20063,Not specified, PFA
20064,Not specified, GH
20065,Not specified, SEQ
20066,Not specified, AAQ
20067,Not specified, MHO
20068,Not specified, CPT
20069,Not specified, DXA
20070,Not specified, QD
20071,Not specified, 8J
20072,Not specified, SIQ (1)
20073,Not specified, SIQ
20074,Not specified, REQ
20075,Not specified, BQ
20076,Not specified, TXY
20077,Not specified, WD
20078,Not specified, W7
20079,Not specified, BTQ
20080,Not specified, HY
20081,Not specified, DFS
20082,Not specified, PNS
20083,Not specified, SUA
20084,Not specified, APN
20085,Not specified, QO
20086,Not specified, T3
20087,Not specified, SXP
20088,Not specified, FF
20089,Not specified, FS
20090,Not specified, QN
20091,Not specified, 7B
20092,Not specified, MLX
20093,Not specified, CTQ
20094,Not specified, LF (1)
20095,Not specified, WO
20096,Not specified, GJ (1)
20097,Not specified, OI
20098,Not specified, EGJ
20099,Not specified, 6F
20100,Not specified, PO
20101,Not specified, SFQ (1)
20102,Not specified, SFQ
20103,Not specified, NEQ
20104,Not specified, UN
20105,Not specified, EU
20106,Not specified, SM
20107,Not specified, FX
20108,Not specified, NC
20109,Not specified, TRQ
20110,Not specified, ADB
20111,Not specified, DHQ
20112,Not specified, MAV
20113,Not specified, GDW
20114,Not specified, XC
20115,Not specified, AIC
20116,Not specified, 2T
20117,Not specified, Q7 (1)
20118,Not specified, UX (1)
20119,Not specified, UX
20120,Not specified, DE
20121,Not specified, LU
20122,Not specified, MTX
20123,Not specified, SX (1)
20124,Not specified, H2
20125,Not specified, PNQ
20126,Not specified, GKQ
20127,Not specified, 7Z
20128,Not specified, MT (1)
20129,Not specified, 1I
20130,Not specified, MNA
20131,Not specified, JMA
20132,Not specified, CZ (1)
20133,Not specified, CZ
20134,Not specified, JAQ
20135,Not specified, NET
20136,Not specified, H5
20137,Not specified, JK (1)
20138,Not specified, JK
20139,Not specified, CC (1)
20140,Not specified, CC
20141,Not specified, AUX
20142,Not specified, 8N
20143,Not specified, KP
20144,Not specified, TX (1)
20145,Not specified, TX
20146,Not specified, SPQ
20147,Not specified, T9
20148,Not specified, MP
20149,Not specified, PRQ
20150,Not specified, HQQ
20151,Not specified, M6
20152,Not specified, 6A
20153,Not specified, ET
20154,Not specified, BGQ
20155,Not specified, VH (1)
20156,Not specified, M3
20157,Not specified, SO
20158,Not specified, AVC
20159,Not specified, XPA
20160,Not specified, BN (1)
20161,Not specified, BN
20162,Not specified, TN
20163,Not specified, LXQ (1)
20164,Not specified, ZA
20165,Not specified, 5G (1)
20166,Not specified, GFQ
20167,Not specified, JJ
20168,Not specified, W9
20169,Not specified, L2
20170,Not specified, XJ
20171,Not specified, NI (1)
20172,Not specified, NI
20173,Not specified, CDQ
20174,Not specified, AIK
20175,Not specified, LG
20176,Not specified, N7
20177,Not specified, PFQ
20178,Not specified, LOQ
20179,Not specified, 6B
20181,Not specified, TIE
20182,Not specified, MJ
20183,Not specified, OK
20184,Not specified, NOQ
20185,Not specified, JO
