delay_id_pk,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,other_type_delay
84613,38.0,0.0,0.0,0.0,51.0,-9.0
84614,7.0,0.0,0.0,0.0,105.0,-8.0
84620,35.0,0.0,0.0,0.0,0.0,-18.0
84622,3.0,0.0,0.0,0.0,19.0,-7.0
84634,3.0,0.0,0.0,0.0,45.0,-10.0
84640,22.0,0.0,0.0,0.0,146.0,0.0
84644,7.0,0.0,2.0,0.0,89.0,2.0
84645,10.0,0.0,0.0,0.0,16.0,-5.0
84646,29.0,0.0,0.0,0.0,18.0,-9.0
84655,5.0,0.0,0.0,0.0,23.0,-19.0
84656,49.0,0.0,0.0,0.0,22.0,-3.0
84657,91.0,0.0,0.0,0.0,0.0,-41.0
84660,15.0,0.0,0.0,0.0,29.0,-10.0
84663,5.0,0.0,0.0,0.0,38.0,-4.0
84671,18.0,0.0,8.0,0.0,35.0,8.0
84681,146.0,0.0,0.0,0.0,207.0,-20.0
84682,214.0,0.0,3.0,0.0,2.0,3.0
84684,27.0,0.0,0.0,0.0,10.0,-29.0
84685,111.0,0.0,10.0,0.0,65.0,10.0
84689,1.0,0.0,6.0,0.0,22.0,6.0
84691,9.0,0.0,0.0,0.0,23.0,-3.0
84693,0.0,150.0,55.0,0.0,0.0,55.0
84694,0.0,0.0,62.0,0.0,182.0,18.0
84695,21.0,0.0,0.0,0.0,39.0,-6.0
84696,5.0,0.0,32.0,0.0,0.0,32.0
84697,0.0,0.0,0.0,0.0,162.0,-20.0
84699,221.0,0.0,0.0,0.0,0.0,-20.0
84700,4.0,0.0,0.0,0.0,203.0,-18.0
84706,9.0,0.0,0.0,0.0,193.0,-13.0
84733,0.0,0.0,17.0,0.0,0.0,29.0
84762,1.0,0.0,145.0,0.0,4.0,1.0
84766,0.0,0.0,0.0,0.0,121.0,-16.0
84779,298.0,0.0,0.0,0.0,0.0,-20.0
84786,198.0,0.0,0.0,0.0,0.0,-16.0
84805,29.0,0.0,0.0,0.0,2.0,-16.0
84809,30.0,0.0,4.0,0.0,0.0,4.0
84815,0.0,0.0,0.0,0.0,108.0,-9.0
84827,0.0,0.0,0.0,0.0,51.0,-16.0
84838,5.0,0.0,0.0,0.0,27.0,-8.0
84839,5.0,0.0,0.0,0.0,23.0,-9.0
84841,0.0,32.0,0.0,0.0,0.0,-2.0
84846,8.0,0.0,0.0,0.0,39.0,-6.0
84847,2.0,0.0,0.0,0.0,34.0,-3.0
84857,0.0,0.0,0.0,0.0,111.0,-2.0
84860,0.0,0.0,0.0,0.0,61.0,-9.0
84861,14.0,0.0,0.0,0.0,2.0,-4.0
84867,0.0,0.0,29.0,0.0,0.0,-3.0
84872,0.0,0.0,0.0,0.0,83.0,-10.0
84878,6.0,0.0,0.0,0.0,34.0,-6.0
84879,120.0,0.0,0.0,0.0,36.0,-5.0
84897,4.0,0.0,0.0,0.0,18.0,-3.0
84899,8.0,0.0,0.0,0.0,33.0,-4.0
84929,80.0,0.0,6.0,0.0,13.0,6.0
84930,39.0,0.0,0.0,0.0,3.0,-2.0
84936,39.0,0.0,0.0,0.0,0.0,-19.0
84937,0.0,0.0,10.0,0.0,25.0,-14.0
84940,37.0,0.0,0.0,0.0,0.0,46.0
84942,0.0,0.0,0.0,0.0,106.0,-6.0
84943,72.0,0.0,0.0,0.0,0.0,-11.0
84949,77.0,0.0,0.0,0.0,0.0,-7.0
84952,80.0,0.0,41.0,0.0,0.0,41.0
84961,0.0,0.0,18.0,0.0,3.0,-7.0
84962,0.0,121.0,0.0,0.0,0.0,-3.0
84965,0.0,0.0,30.0,0.0,0.0,-15.0
84970,9.0,0.0,1.0,0.0,111.0,1.0
84972,0.0,0.0,10.0,0.0,27.0,10.0
84975,0.0,0.0,45.0,0.0,0.0,10.0
84983,340.0,0.0,19.0,0.0,0.0,19.0
84984,4.0,0.0,6.0,0.0,47.0,6.0
84985,0.0,0.0,4.0,0.0,45.0,-2.0
84986,0.0,0.0,35.0,0.0,0.0,-10.0
84991,0.0,0.0,31.0,0.0,15.0,-10.0
85008,106.0,0.0,0.0,0.0,0.0,-1.0
85013,0.0,0.0,0.0,0.0,153.0,-2.0
